PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
UK01;PARTY;;FINAL;
UK02;PARTY;;FINAL;
UK03;PARTY;;FINAL;
UK04;PARTY;;FINAL;
UK05;PARTY;;FINAL;
UK06;PARTY;;FINAL;
UK90;PARTY;;FINAL;
