PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
UK01;PARTY;17;GP0001;CONSTITUTIVE;
UK02;PARTY;1;GP0001;CONSTITUTIVE;
UK03;PARTY;60;GP0003;CONSTITUTIVE;
UK04;PARTY;1;GP0003;CONSTITUTIVE;
UK05;PARTY;1;GP0006;CONSTITUTIVE;
UK06;PARTY;1;NA;CONSTITUTIVE;
