PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
UK01;PARTY;27;GP1001;CONSTITUTIVE;
UK02;PARTY;1;GP1001;CONSTITUTIVE;
UK03;PARTY;19;GP1002;CONSTITUTIVE;
UK04;PARTY;12;GP1003;CONSTITUTIVE;
UK05;PARTY;2;GP1004;CONSTITUTIVE;
UK06;PARTY;1;GP1005;CONSTITUTIVE;
UK07;PARTY;11;GP1007;CONSTITUTIVE;
UK07;PARTY;1;NA;CONSTITUTIVE;
UK08;PARTY;1;NA;CONSTITUTIVE;
UK09;PARTY;2;GP1004;CONSTITUTIVE;
UK10;PARTY;1;GP1004;CONSTITUTIVE;
