GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
GP0801;37;5.91;CONSTITUTIVE;
GP0802;30;4.79;CONSTITUTIVE;
GP0803;10;1.6;CONSTITUTIVE;
GP0804;6;0.96;CONSTITUTIVE;
GP0805;0;0.0;CONSTITUTIVE;
GP0806;0;0.0;CONSTITUTIVE;
GP0807;0;0.0;CONSTITUTIVE;
GP0808;3;0.48;CONSTITUTIVE;
NA;1;0.16;CONSTITUTIVE;
