PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
UK02;PARTY;1;GP0601;CONSTITUTIVE;
UK04;PARTY;1;GP0602;CONSTITUTIVE;
UK07;PARTY;1;NA;CONSTITUTIVE;
