GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
SD;10;1.33;CONSTITUTIVE;
ECR;4;0.53;CONSTITUTIVE;
ALDE;17;2.26;CONSTITUTIVE;
GUENGL;1;0.13;CONSTITUTIVE;
GREENSEFA;11;1.46;CONSTITUTIVE;
NA;30;3.99;CONSTITUTIVE;
