PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
UK01;PARTY;1;GUENGL;CONSTITUTIVE;
UK02;PARTY;1;NA;CONSTITUTIVE;
UK06;PARTY;1;ALDE;CONSTITUTIVE;
UK07;PARTY;4;ECR;CONSTITUTIVE;
UK08;PARTY;10;SD;CONSTITUTIVE;
UK10;PARTY;3;GREENSEFA;CONSTITUTIVE;
UK11;PARTY;1;GREENSEFA;CONSTITUTIVE;
UK12;PARTY;16;ALDE;CONSTITUTIVE;
UK13;PARTY;7;GREENSEFA;CONSTITUTIVE;
UK15;PARTY;29;NA;CONSTITUTIVE;
