PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
UK01;PARTY;45;GP0401;CONSTITUTIVE;
UK02;PARTY;1;GP0401;CONSTITUTIVE;
UK03;PARTY;1;GP0402;CONSTITUTIVE;
UK04;PARTY;32;GP0404;CONSTITUTIVE;
UK05;PARTY;1;GP0410;CONSTITUTIVE;
UK06;PARTY;1;NA;CONSTITUTIVE;
