PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
UK01;PARTY;;FINAL;
UK04;PARTY;;FINAL;
UK05;PARTY;;FINAL;
UK90;PARTY;;FINAL;
