PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
UK01;PARTY;20;GP1402;CONSTITUTIVE;
UK03;PARTY;19;GP1403;CONSTITUTIVE;
UK04;PARTY;1;GP1404;CONSTITUTIVE;
UK06;PARTY;1;GP1406;CONSTITUTIVE;
UK07;PARTY;2;GP1406;CONSTITUTIVE;
UK08;PARTY;3;GP1406;CONSTITUTIVE;
UK09;PARTY;24;GP1407;CONSTITUTIVE;
