PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
UK08;PARTY;26.04;FINAL;
UK07;PARTY;17.11;FINAL;
UK12;PARTY;18.23;FINAL;
UK90;PARTY;38.62;FINAL;
