PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
UK01;PARTY;15.31;FINAL;
UK02;PARTY;13.36;FINAL;
UK03;PARTY;2.05;FINAL;
UK04;PARTY;8.38;FINAL;
UK05;PARTY;0.78;FINAL;
UK06;PARTY;27.0;FINAL;
UK07;PARTY;0.43;FINAL;
UK08;PARTY;0.65;FINAL;
UK09;PARTY;16.09;FINAL;
UK10;PARTY;6.04;FINAL;
UK11;PARTY;0.46;FINAL;
UK90;PARTY;0.56;FINAL;
UK91;PARTY;8.89;FINAL;
