GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
GP1201;0;0.0;CONSTITUTIVE;
GP1202;0;0.0;CONSTITUTIVE;
GP1203;0;0.0;CONSTITUTIVE;
GP1204;0;0.0;CONSTITUTIVE;
GP1205;1;0.14;CONSTITUTIVE;
GP1206;1;0.14;CONSTITUTIVE;
GP1207;0;0.0;CONSTITUTIVE;
NA;1;0.14;CONSTITUTIVE;
