PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
UK01;PARTY;32;GP0201;CONSTITUTIVE;
UK03;PARTY;45;GP0203;CONSTITUTIVE;
UK05;PARTY;1;GP0206;CONSTITUTIVE;
