GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
GP0201;32;7.37;CONSTITUTIVE;
GP0202;0;0.0;CONSTITUTIVE;
GP0203;45;10.37;CONSTITUTIVE;
GP0204;0;0.0;CONSTITUTIVE;
GP0205;0;0.0;CONSTITUTIVE;
GP0206;1;0.23;CONSTITUTIVE;
GP0207;0;0.0;CONSTITUTIVE;
GP0208;0;0.0;CONSTITUTIVE;
NA;0;0.0;CONSTITUTIVE;
